"id","nome_pais","preco_medio","descricao_mais_longa"
1,"Cyprus",16.27,"Vanilla, cherry and violet on the nose lead into flavors of black fruit, spices and pepper in this balanced, crisp red. Complex but refreshing, with a food-friendly character. Pair with lamb, cheeses."
2,"Turkey",24.63,"This wine made from an aromatic indigenous Turkish grape offers a pleasing aroma of honeydew melon and freesia. It is soft on entry and remains smooth on the palate, with flavors of guava, pineapple and rose petal that meld into a soft floral finish."
3,"Switzerland",85.29,"Vanilla and lemon curd aromas bring nuance and depth to the the complex bouquet of this wine. Full bodied with a silky texture, tones of green apple and mango show bright on the palate, leading to a splash of minerality on the finish."
4,"New Zealand",26.93,"You've got to dig for them a little, but eventually this wine offers aromas of ginger, white flowers and almonds with a whiff of green beans followed by a citrusy, pithy palate. The finish doesn't last as long as you'll wish it did. Nevertheless, this is a solid example of the region's flagship variety."
5,"Italy",39.66,"Zorzettig's precious Picolit dessert wine delivers unique menthol- like tones over dried herbs, almond, honey, pine nut and maple syrup. It's very alive and bright in the mouth and has a distinctive powder-like texture with great intensity on the close."
6,"Uruguay",26.4,"Woody lightly spicy aromas of red fruits are tame and suggestive of fresh mushroom. This is linear and wiry in structure, not deep. Snappy tomato, herb and spiced-plum flavors finish lively, with a salty afertaste."
7,"Hungary",40.65,"White flower and pink bubblegum notes lend a slightly confected tone to this semisweet Hungarian sparkling wine, but it's an undeniably drinkable, peach-flavored sip, with sharp effervescence and a tasty sugar-cookie finish."
8,"US",36.57,"Zucca has made a fragrant and floral Sangiovese Rosato here, dry like cherry jam on toast and a nutty finish. Pair it with tropically seasoned seafood."
9,"China",18.0,"This deep ruby-colored wine features a bouquet of blackberry, tar and smoked meat. Chalky tannins provide a backdrop for a medley of fruit and savory flavors, including black cherry, cassis, flint and bacon. The soft finish is marked by a lingering smoke note."
10,"Luxembourg",23.33,"This sparkling wine has vanilla bean, freshly baked brioche, Granny Smith apple and Bartlett pear aromas. It has a very nice mousse and flakey pie crust, lemon zest and pear flavors."
11,"Czech Republic",24.25,"Wispy hints of stonefruit and clementine mingle with savory notes of nettle and dried herb on this characteristically grassy, brisk Sauvignon Blanc. The palate is delicately flavored, with a dusty mineral note that lingers."
12,"Armenia",14.5,"Medium straw in the glass, this wine has a nose of pineapple and white melon. Soft on the palate, it offers flavors of grapefruit, papaya and rose. Lingering brightness on the finish is bolstered by a hint of pear."
13,"Romania",15.24,"With fresh, grassy aromas and flavors and a subtle character on the palate, this friendly white is simple but enjoyable. Pair with grilled seafood or spicy Asian cuisine."
14,"Brazil",23.77,"Yeasty briny aromas are a bit pickled and not very fruity. This rosé feels yeasty and not very tight or expressive. Flavors of tropical fruits and melon don't change much on a quick-passing finish."
15,"Austria",30.76,"Zweigelt can do easy-drinking styles but in the right hands, it can also turn into something more elegant. That's the case here: This exudes sophistication. Subtle use of oak supports the supple structure and gives the ripe red cherry fruit a more velvety spin. While this is ready now, it may well get even better with a year or two in bottle."
16,"Australia",35.44,"Zippy and fresh in the mouth, well balanced, with eye-opening fresh green herb and lemon peel flavors. The same green herb, plus some petrol, shows on the nose. A gravelly, minerally finish brings it to a dry close."
17,"Germany",42.26,"Zippy lemongrass and white grapefruit flavors penetrate this vibrant but richly mouth-filling Spätlese. It's juicy, forward and accessible yet elegant, finishing with reverberating lime and lemon-zest astringency. Drink now through 2020."
18,"Macedonia",15.58,"This white blend offers a full nose of vanilla and spice, followed by full-bodied flavors that are both fruity and spicy. Pair with salads, cheeses or sip alone on a hot day."
19,"Serbia",24.5,"White flowers, eucalyptus and a slight whiff of petrol greet the nose. In the mouth, it is all about green olive, white peach and green apple. The finish is soft and elegant."
20,"Canada",35.71,"Young and sharp-toned, this shows a strong streak of oak with a bitter edge to it. More bottle age may help to soften it up a bit, but for now it's all about oak and apple without much else. Cellar it awhile or give it extra aeration."
21,"Portugal",26.22,"Zesty and tongue prickling, this is fresh, fruity and ready to drink. It has a sugar sweety character which is tempered by acidity and a touch of red currant."
22,"Ukraine",9.21,"This wine has aromas of pomegranate juice and dried cherry. Flavors suggest pomegranate juice and tart cherry conserves."
23,"Bulgaria",14.65,"White flowers, dried lavender and vanilla bean scent this wine. Pleasantly acidic on entry, it tastes of lemon curd, pineapple juice and white peaches. The finish is zesty and long lasting."
24,"Argentina",24.51,"Zesty, tropical aromas are clean and approachable. This is a patio wine with juicy grapefruit and lime flavors. Lean notes of citrus grace a sharp, pointed finish."
25,"Spain",28.22,"Zingy and sort of floral on the nose, but fairly pickled, less than pure fruit mars the flavor profile. White wine from La Mancha has never been a Spanish strong suit, and while this wine isn't cloying, sharp or dead on arrival, it doesn't add up to much."
26,"Croatia",25.45,"Yellow freesias, fresh apples and quince preserves perfume this lovely, medium-bodied Malvasia from Istria. Dry on the palate yet elegantly fruity, it balances bright, fresh apple and tangerine flavors with nervy acidity and a lemon pith astringency on the finish."
